name,type,contactPerson,phone,email,address,kraPin,paymentTermsDays,chargeVat,vatMode,openingBalance
ABUCHE JUNIOR SCHOOL,SCHOOL,,,,,,30,,,0
ABUCHE PRIMARY SCHOOL,SCHOOL,,,,,,30,,,0
AHONO PRIMARY SCHOOL,SCHOOL,,,,,,30,,,0
ALWOR MIXED JUNIOR SCHOOL,SCHOOL,,,,,,30,,,0
ASEBU PRIMARY SCHOOL,SCHOOL,,,,,,30,,,0
ASIONGO JUNIOR SCHOOL,SCHOOL,,,,,,30,,,0
BARKALARE JUNIOR SCHOOL,SCHOOL,,,,,,30,,,0
BULANDA A.C COMPREHENSIVE SCHOOL,SCHOOL,,,,,,30,,,0
Bulanda RC,SCHOOL,,,,,,30,,,0
BUMBO JUNIOR SCHOOL,SCHOOL,,,,,,30,,,0
CHEBINI PEFA JUNIOR SECONDARY SCHOOL,SCHOOL,,,,,,30,,,0
DUDI TOWNSHIP PRIMARY,SCHOOL,,,,,,30,,,0
EBIBA PRIMARY SCHOOL,SCHOOL,,,,,,30,,,0
EBITSI JUNIOR SCHOOL,SCHOOL,,,,,,30,,,0
EBUBAI PRIMARY SCHOOL,SCHOOL,,,,,,30,,,0
EBUBAYI PRIMARY SCHOOL,SCHOOL,,,,,,30,,,0
EBUHANDO JUNIOR SCHOOL,SCHOOL,,,,,,30,,,0
EBUKANGA JUNIOR SCHOOL,SCHOOL,,,,,,30,,,0
EBUKHAYA JUNIOR SCHOOL,SCHOOL,,,,,,30,,,0
Ebukhokoro junior school,SCHOOL,,,,,,30,,,0
EBUKHULITI JUNIOR SCHOOL,SCHOOL,,,,,,30,,,0
EBUKOOLO JUNIOR SCHOOL,SCHOOL,,,,,,30,,,0
EBUKOOLO SECONDARY SCHOOL,SCHOOL,,,,,,30,,,0
EBUKUTENGA JUNIOR SCHOOL,SCHOOL,,,,,,30,,,0
EBUKUYA JUNIOR SCHOOL,SCHOOL,,,,,,30,,,0
EBUKUYA SPECIAL SCHOOL,SCHOOL,,,,,,30,,,0
EBUKWALA JUNIOR SCHOOL,SCHOOL,,,,,,30,,,0
EBULAKO PRIMARY SCHOOL,SCHOOL,,,,,,30,,,0
EBULAMBA JUNIOR SCHOOL,SCHOOL,,,,,,30,,,0
EBULONDI PRIMARY SCHOOL,SCHOOL,,,,,,30,,,0
EBULONGA PRIMARY SCHOOL,SCHOOL,,,,,,30,,,0
EBUNANGWE COMPREHENSIVE SCHOOL,SCHOOL,,,,,,30,,,0
EBUSAKAMI PRIMARY SCHOOL,SCHOOL,,,,,,30,,,0
EBUSHIBUNGO JUNIOR SCHOOL,SCHOOL,,,,,,30,,,0
EBUSILOLI JUNIOR SCHOOL,SCHOOL,,,,,,30,,,0
EBUSIRALO PRIMARY SCHOOL,SCHOOL,,,,,,30,,,0
EBUSIRATSI A.C PRIMARY SCHOOL,SCHOOL,,,,,,30,,,0
EBUSIRATSI C.OG SCHOOL,SCHOOL,,,,,,30,,,0
EBUSYUBI JUNIOR SCHOOL,SCHOOL,,,,,,30,,,0
EBUTUTI PRIMARY SCHOOL,SCHOOL,,,,,,30,,,0
