sku,title,category,unitPrice,costPrice
PL-0001,"A5 Exercise Book 48pg — Newsprint, No Logo",Exercise Book,30,0
PL-0002,"A5 Exercise Book 48pg — Newsprint, With Logo",Exercise Book,40,0
PL-0003,"A5 Exercise Book 48pg — Bank/White, No Logo",Exercise Book,40,0
PL-0004,"A5 Exercise Book 48pg — Bank/White, With Logo",Exercise Book,45,0
PL-0005,"A5 Exercise Book 64pg — Newsprint, No Logo",Exercise Book,35,0
PL-0006,"A5 Exercise Book 64pg — Newsprint, With Logo",Exercise Book,45,0
PL-0007,"A5 Exercise Book 64pg — Bank/White, No Logo",Exercise Book,45,0
PL-0008,"A5 Exercise Book 64pg — Bank/White, With Logo",Exercise Book,55,0
PL-0009,"A5 Exercise Book 96pg — Newsprint, No Logo",Exercise Book,45,0
PL-0010,"A5 Exercise Book 96pg — Newsprint, With Logo",Exercise Book,55,0
PL-0011,"A5 Exercise Book 96pg — Bank/White, No Logo",Exercise Book,55,0
PL-0012,"A5 Exercise Book 96pg — Bank/White, With Logo",Exercise Book,70,0
PL-0013,"A5 Exercise Book 120pg — Newsprint, No Logo",Exercise Book,55,0
PL-0014,"A5 Exercise Book 120pg — Newsprint, With Logo",Exercise Book,65,0
PL-0015,"A5 Exercise Book 120pg — Bank/White, No Logo",Exercise Book,65,0
PL-0016,"A5 Exercise Book 120pg — Bank/White, With Logo",Exercise Book,75,0
PL-0017,"A5 Exercise Book 200pg — Newsprint, No Logo",Exercise Book,65,0
PL-0018,"A5 Exercise Book 200pg — Newsprint, With Logo",Exercise Book,75,0
PL-0019,"A5 Exercise Book 200pg — Bank/White, No Logo",Exercise Book,80,0
PL-0020,"A5 Exercise Book 200pg — Bank/White, With Logo",Exercise Book,100,0
PL-0021,"A4 Exercise Book 64pg — Newsprint, No Logo",Exercise Book,50,0
PL-0022,"A4 Exercise Book 64pg — Newsprint, With Logo",Exercise Book,60,0
PL-0023,"A4 Exercise Book 64pg — Bank/White, No Logo",Exercise Book,60,0
PL-0024,"A4 Exercise Book 64pg — Bank/White, With Logo",Exercise Book,75,0
PL-0025,"A4 Exercise Book 96pg — Newsprint, No Logo",Exercise Book,70,0
PL-0026,"A4 Exercise Book 96pg — Newsprint, With Logo",Exercise Book,80,0
PL-0027,"A4 Exercise Book 96pg — Bank/White, No Logo",Exercise Book,80,0
PL-0028,"A4 Exercise Book 96pg — Bank/White, With Logo",Exercise Book,100,0
PL-0029,"A4 Exercise Book 120pg — Newsprint, No Logo",Exercise Book,90,0
PL-0030,"A4 Exercise Book 120pg — Newsprint, With Logo",Exercise Book,110,0
PL-0031,"A4 Exercise Book 120pg — Bank/White, No Logo",Exercise Book,110,0
PL-0032,"A4 Exercise Book 120pg — Bank/White, With Logo",Exercise Book,150,0
PL-0033,"A4 Exercise Book 200pg — Newsprint, No Logo",Exercise Book,110,0
PL-0034,"A4 Exercise Book 200pg — Newsprint, With Logo",Exercise Book,150,0
PL-0035,"A4 Exercise Book 200pg — Bank/White, No Logo",Exercise Book,150,0
PL-0036,"A4 Exercise Book 200pg — Bank/White, With Logo",Exercise Book,180,0
PL-0037,Envelope C6/C7 — Brown Plain,Stationery,10,0
PL-0038,Envelope C6/C7 — Brown Printed,Stationery,12,0
PL-0039,Envelope C6/C7 — White Plain,Stationery,10,0
PL-0040,Envelope C6/C7 — White Printed,Stationery,15,0
PL-0041,Envelope DL — Brown Plain,Stationery,10,0
PL-0042,Envelope DL — Brown Printed,Stationery,15,0
PL-0043,Envelope DL — White Plain,Stationery,15,0
PL-0044,Envelope DL — White Printed,Stationery,20,0
PL-0045,Envelope A5 — Brown Plain,Stationery,10,0
PL-0046,Envelope A5 — Brown Printed,Stationery,15,0
PL-0047,Envelope A5 — White Plain,Stationery,15,0
PL-0048,Envelope A5 — White Printed,Stationery,20,0
PL-0049,Envelope A4 — Brown Plain,Stationery,15,0
PL-0050,Envelope A4 — Brown Printed,Stationery,25,0
PL-0051,Envelope A4 — White Plain,Stationery,20,0
PL-0052,Envelope A4 — White Printed,Stationery,25,0
PL-0053,Envelope A3 — Brown Plain,Stationery,30,0
PL-0054,Envelope A3 — Brown Printed,Stationery,35,0
PL-0055,Envelope A3 — White Plain,Stationery,35,0
PL-0056,Envelope A3 — White Printed,Stationery,40,0
PL-0057,WHITE DOZ,Other,1500,0
PL-0058,COLOURED DOZ,Other,1900,0
PL-0059,ORD CHALK PKT,Stationery,500,0
PL-0060,FELT PENS ORD,Stationery,100,0
PL-0061,STAEDLER MARKERS,Stationery,200,0
PL-0062,WHITEBOARD MARKERS,Stationery,150,0
PL-0063,FELT PEN INK 20ML,Stationery,200,0
PL-0064,FELT PEN INK 45ML,Stationery,300,0
PL-0065,WHITEBOARD 20ML,Other,200,0
PL-0066,WHITEBOARD 45ML,Other,300,0
PL-0067,WHITE BOARD 50ML,Other,400,0
PL-0068,STAMPAD INK,Stationery,200,0
PL-0069,STAMPAD,Stationery,200,0
PL-0070,SELF INKING STAMP,Stationery,3000,0
PL-0071,POCKET STAMP,Stationery,2500,0
PL-0072,ORD PENS,Stationery,20,0
PL-0073,BIC CRYSTAL PKT,Other,780,0
PL-0074,BIC FINE POINT PKT,Other,780,0
PL-0075,EXECUTIVE PENS,Stationery,200,0
PL-0076,ORD PENCILS DOZ,Stationery,200,0
PL-0077,OFFICE POINT PC,Other,40,0
PL-0078,OFFICE POINT PKT,Other,450,0
PL-0079,HB STAEDLER,Other,100,0
PL-0080,HB STAEDLER PKT,Other,1200,0
PL-0081,PVC SPRING FILE,Office Supplies,100,0
PL-0082,BOX FILE A4,Office Supplies,450,0
PL-0083,BOX FILE A5,Office Supplies,350,0
PL-0084,2 INCH,Other,30,0
PL-0085,1 INCH,Other,50,0
PL-0086,INSULATING TAPES,Stationery,100,0
PL-0087,MOUNTING TAPE,Stationery,900,0
PL-0088,CELLOTAPE HOLDER,Stationery,1000,0
PL-0089,½”,Other,60,0
PL-0090,1”,Other,100,0
PL-0091,2”,Other,180,0
PL-0092,OFFICE GLUE 90GMS,Stationery,100,0
PL-0093,OFFICE 160 GMS,Other,200,0
PL-0094,OFFICE GLUE 1KG,Stationery,420,0
PL-0095,GLUE STICK 10GM,Stationery,180,0
PL-0096,GLUE STICK 20GM,Stationery,250,0
PL-0097,GLUE STICK 40GMS,Stationery,350,0
PL-0098,BINDING GLUE 500GMS,Stationery,500,0
PL-0099,BINDING GLUE 1KG,Stationery,1000,0
PL-0100,DS210,Other,1500,0
PL-0101,DS 45 STAPLER,Stationery,650,0
PL-0102,D45,Other,650,0
PL-0103,HD-1213 (LONG),Other,3500,0
PL-0104,HD 23S24 (GIANT),Other,5500,0
PL-0105,MINI STAPLER,Stationery,350,0
PL-0106,6(1000),Other,100,0
PL-0107,6 (5000),Other,450,0
PL-0108,10(1000),Other,300,0
PL-0109,THUMB TACKS,Stationery,100,0
PL-0110,PUSH PINS PKT,Stationery,300,0
PL-0111,DP 480,Other,550,0
PL-0112,DP 520,Other,750,0
PL-0113,DP 800,Other,7500,0
PL-0114,ORDINARY,Other,25,0
PL-0115,PELIKAN BR80,Other,30,0
PL-0116,PELIKAN BR40,Other,40,0
PL-0117,WHITE OUT,Stationery,180,0
PL-0118,CORRECTION PEN,Stationery,250,0
PL-0119,IMPORTED DUSTER,Stationery,200,0
PL-0120,LOCAL DUSTER,Stationery,80,0
PL-0121,WHITE BOARD,Other,200,0
PL-0122,6Q,Other,600,0
PL-0123,4Q,Other,480,0
PL-0124,3Q,Other,370,0
PL-0125,2Q,Other,300,0
PL-0126,1Q,Other,240,0
PL-0127,A5,Other,170,0
PL-0128,A7,Other,100,0
PL-0129,PHOTOCOPY REAM,Office Supplies,950,0
PL-0130,FOOLSCAP WHITE,Office Supplies,750,0
PL-0131,FOOLSCAPS NP,Office Supplies,650,0
PL-0132,GRAPHPAPER BANK,Office Supplies,850,0
PL-0133,MANILLA PAPER,Office Supplies,40,0
PL-0134,MANILLA ASSORTED,Office Supplies,4000,0
PL-0135,CARBON PAPER,Office Supplies,3000,0
PL-0136,FLIP CHART,Office Supplies,750,0
PL-0137,SVETO PHOTCPY PAPER,Office Supplies,850,0
PL-0138,IODINE CRYSTALS 100GMS,Lab Equipment,4500,0
PL-0139,IODINE SOLUTION 1L,Lab Equipment,1100,0
PL-0140,IRON FILLINGS,Lab Equipment,1500,0
PL-0141,IRON PLATE,Lab Equipment,750,0
PL-0142,LAB COAT,Lab Equipment,1200,0
PL-0143,LAB THERMOMETER,Lab Equipment,450,0
PL-0144,LEAD PLATE,Lab Equipment,750,0
PL-0145,LIEBIG CONDENSER,Lab Equipment,2000,0
PL-0146,LITMUS PAPER BOOKLETS,Lab Equipment,1050,0
PL-0147,LITMUS SOLUTION,Lab Equipment,1500,0
PL-0148,MAGNESIUM RIBBON,Lab Equipment,1700,0
PL-0149,MAGNET BAR,Lab Equipment,900,0
PL-0150,MAGNET HORSE SHOE,Lab Equipment,900,0
PL-0151,MAGNET U SHAPE,Lab Equipment,950,0
PL-0152,MAGNIFYING LENS,Lab Equipment,200,0
PL-0153,MANGANESE (IV) OXIDE,Lab Equipment,2500,0
PL-0154,METER RULE,Lab Equipment,450,0
PL-0155,METER RULE FULL,Lab Equipment,450,0
PL-0156,METER RULE HALF,Lab Equipment,300,0
PL-0157,METHYL ORANGE 500ML,Lab Equipment,1000,0
PL-0158,METHYLATED SPIRIT 5L,Lab Equipment,1950,0
PL-0159,MICROSCOPE SLIDES PKT,Lab Equipment,750,0
PL-0160,MICROSCOPE-LIGHT,Lab Equipment,15000,0
PL-0161,MIRROR HOLDERS,Lab Equipment,350,0
PL-0162,MODELS OF HUMAN TEETH,Lab Equipment,2000,0
PL-0163,MORTAR &PESTLE 3”,Lab Equipment,600,0
PL-0164,MSRNG CYLINDER 1000ML,Lab Equipment,1600,0
PL-0165,MSRNG CYLINDER 250ML,Lab Equipment,520,0
PL-0166,MSRNG CYLINDER 500ML,Lab Equipment,1000,0
PL-0167,MSRNG CYLINDER 50ML,Lab Equipment,280,0
PL-0168,NITRIC ACID 2.5L,Lab Equipment,1600,0
PL-0169,PAIR OF FORCEPS,Lab Equipment,270,0
PL-0170,PENDULUM,Lab Equipment,200,0
PL-0171,PERIODIC TABLE CHART,Lab Equipment,1200,0
PL-0172,PERIODIC TABLE LARGE,Lab Equipment,3000,0
PL-0173,PERMANENT SLIDES PC,Lab Equipment,300,0
PL-0174,PERSPEX RODS,Lab Equipment,750,0
PL-0175,PETRI DISH,Lab Equipment,180,0
PL-0176,PH CHART,Lab Equipment,300,0
PL-0177,PH METER,Lab Equipment,4000,0
PL-0178,PHENOLTHALEIN 500ML,Lab Equipment,1500,0
PL-0179,PHOSPHORUS METAL,Lab Equipment,1800,0
PL-0180,PIPPETTES,Lab Equipment,800,0
PL-0181,PLASTIC BEAKER 100ML,Lab Equipment,250,0
PL-0182,PLASTIC BEAKER 250ML,Lab Equipment,350,0
PL-0183,PLASTIC BEAKER 50ML,Lab Equipment,200,0
PL-0184,PLASTIC RODS,Other,750,0
PL-0185,POTASSIUM MANGANET VII,Lab Equipment,2300,0
PL-0186,POTASSIUM METAL ( IN OIL),Lab Equipment,6000,0
