Item name,SKU,Category,Buying price,Retail,Wholesale,School
Luxor Eco Permanent marker 20 - bullet tip - Black (packet of 12),LUX-201-BLK,Stationery,310.32,,,
Luxor Eco Permanent marker 20 - bullet tip - Blue (packet of 12),LUX-202-BLU,Stationery,310.32,,,
Luxor Eco Permanent marker 20 - bullet tip - Red (packet of 12),LUX-203-RED,Stationery,310.32,,,
Luxor Eco Permanent marker 20 - bullet tip - Green (packet of 12),LUX-204-GRN,Stationery,310.32,,,
Luxor Eco Permanent marker 25 - chisel Tip - Black (packet of 12),LUX-251-BLK,Stationery,310.32,,,
Luxor Eco Permanent marker 25 - chisel Tip - Blue (packet of 12),LUX-252-BLU,Stationery,310.32,,,
Luxor Eco Permanent marker 25 - chisel Tip - Red (packet of 12),LUX-253-RED,Stationery,310.32,,,
Luxor Eco Permanent marker 25 - chisel Tip - Green (packet of 12),LUX-254-GRN,Stationery,310.32,,,
Luxor Eco Permanent marker 30 -bullet Tip - Black (packet of 12),LUX-301-BLK,Stationery,420.00,,,
Luxor Eco Permanent marker 30 -bullet Tip - Blue (packet of 12),LUX-302-BLU,Stationery,420.00,,,
Luxor Eco Permanent marker 30 -bullet Tip - Red (packet of 12),LUX-303-RED,Stationery,420.00,,,
Luxor Eco Permanent marker 30 -bullet Tip - Green (packet of 12),LUX-304-GRN,Stationery,420.00,,,
Luxor Eco Permanent marker 35 - chisel Tip - Black (packet of 12),LUX-351-BLK,Stationery,420.00,,,
Luxor Eco Permanent marker 35 - chisel Tip - Blue (packet of 12),LUX-352-BLU,Stationery,420.00,,,
Luxor Eco Permanent marker 35 - chisel Tip - Red (packet of 12),LUX-353-RED,Stationery,420.00,,,
Luxor Eco Permanent marker 35 - chisel Tip - Green (packet of 12),LUX-354-GRN,Stationery,420.00,,,
Luxor Eco Whiteboard marker 65 - chisel Tip - Black (packet of 12),LUX-651-BLK,Stationery,362.04,,,
Luxor Eco Whiteboard marker 65 - chisel Tip - Blue (packet of 12),LUX-652-BLU,Stationery,362.04,,,
Luxor Eco Whiteboard marker 65 - chisel Tip - Red (packet of 12),LUX-653-RED,Stationery,362.04,,,
Luxor Eco Whiteboard marker 65 - chisel Tip - Green (packet of 12),LUX-654-GRN,Stationery,362.04,,,
Luxor Refillable Permanent marker - Black (packet of 10),LUX-1222-BLK,Stationery,500.00,,,
Luxor Refillable Permanent marker - Blue (packet of 10),LUX-1222-BLU,Stationery,500.00,,,
Luxor Refillable Permanent marker - Red (packet of 10),LUX-1222-RED,Stationery,500.00,,,
Luxor Refillable Permanent marker - Green (packet of 10),LUX-1222-GRN,Stationery,500.00,,,
Luxor Refillable Whiteboard marker - Black (packet of 10),LUX-1223-BLK,Stationery,500.00,,,
Luxor Refillable Whiteboard marker - Blue (packet of 10),LUX-1223-BLU,Stationery,500.00,,,
Luxor Refillable Whiteboard marker - Red (packet of 10),LUX-1223-RED,Stationery,500.00,,,
Luxor Refillable Whiteboard marker - Green (packet of 10),LUX-1223-GRN,Stationery,500.00,,,
Luxor Whiteboard marker 751 - chisel Tip - Black (packet of 12),LUX-3371-BLK,Stationery,430.80,,,
Luxor Whiteboard marker 751 - chisel Tip - Blue (packet of 12),LUX-3372-BLU,Stationery,430.80,,,
Luxor Whiteboard marker 751 - chisel Tip - Red (packet of 12),LUX-3373-RED,Stationery,430.80,,,
Luxor Whiteboard marker 751 - chisel Tip - Green (packet of 12),LUX-3374-GRN,Stationery,430.80,,,
Luxor Whiteboard marker 750 - bullet Tip - Black (packet of 12),LUX-3381-BLK,Stationery,430.80,,,
Luxor Whiteboard marker 750 - bullet Tip - Blue (packet of 12),LUX-3382-BLU,Stationery,430.80,,,
Luxor Whiteboard marker 750 - bullet Tip - Red (packet of 12),LUX-3383-RED,Stationery,430.80,,,
Luxor Whiteboard marker 750 - bullet Tip - Green (packet of 12),LUX-3384-GRN,Stationery,430.80,,,
Luxor Eco Whiteboard Marker 60 - bullet Tip - Black (packet of 12),LUX-701-BLK-60,Stationery,396.00,,,
Luxor Eco Whiteboard Marker 60 - bullet Tip - Blue (packet of 12),LUX-702-BLU-60,Stationery,396.00,,,
Luxor Eco Whiteboard Marker 60 - bullet Tip - Red (packet of 12),LUX-703-RED-60,Stationery,396.00,,,
Luxor Eco Whiteboard Marker 60 - bullet Tip - Green (packet of 12),LUX-704-GRN-60,Stationery,396.00,,,
Luxor Eco Whiteboard Marker 70 - Black (packet of 12),LUX-701-BLK-70,Stationery,396.00,,,
Luxor Eco Whiteboard Marker 70 - Blue (packet of 12),LUX-702-BLU-70,Stationery,396.00,,,
Luxor Eco Whiteboard Marker 70 - Red (packet of 12),LUX-703-RED-70,Stationery,396.00,,,
Luxor Eco Whiteboard Marker 70 - Green (packet of 12),LUX-704-GRN-70,Stationery,396.00,,,
Luxor Eco Textliter - Yellow (packet of 12),LUX-421-YEL,Stationery,362.40,,,
Luxor Eco Textliter - Green (packet of 12),LUX-422-GRN,Stationery,362.40,,,
Luxor Eco Textliter - Pink (packet of 12),LUX-424-PNK,Stationery,362.40,,,
Luxor Eco Textliter - Blue (packet of 12),LUX-425-BLU,Stationery,362.40,,,
Luxor Textliter - Yellow (packet of 12),LUX-4011-YEL,Stationery,400.80,,,
Luxor Textliter - Green (packet of 12),LUX-4012-GRN,Stationery,400.80,,,
Luxor Textliter - Orange (packet of 12),LUX-4013-ORG,Stationery,400.80,,,
Luxor Textliter - Pink (packet of 12),LUX-4014-PNK,Stationery,400.80,,,
Luxor Textliter - Blue (packet of 12),LUX-4015-BLU,Stationery,400.80,,,
Luxor Textliter - Purple (packet of 12),LUX-4017-PPL,Stationery,396.00,,,
Mini highlighter - Yellow (packet of 12),LUX-4001-YEL,Stationery,207.12,,,
Mini highlighter - Green (packet of 12),LUX-4002-GRN,Stationery,207.12,,,
Mini highlighter - Orange (packet of 12),LUX-4003-ORG,Stationery,207.12,,,
Mini highlighter - Pink (packet of 12),LUX-4004-PNK,Stationery,207.12,,,
Mini highlighter - Blue (packet of 12),LUX-4005-BLU,Stationery,207.12,,,
Whiteboard refill ink 15ml - Black (packet of 10),LUX-986-BLK,Stationery,603.20,,,
Whiteboard refill ink 15ml - Blue (packet of 10),LUX-986-BLU,Stationery,603.20,,,
Whiteboard refill ink 15ml - Red (packet of 10),LUX-986-RED,Stationery,603.20,,,
Whiteboard refill ink 15ml - Green (packet of 10),LUX-986-GRN,Stationery,603.20,,,
Permanent Marker refill ink 15ml - Black (packet of 10),LUX-985-BLK,Stationery,603.20,,,
Permanent Marker refill ink 15ml - Blue (packet of 10),LUX-985-BLU,Stationery,603.20,,,
Permanent Marker refill ink 15ml - Red (packet of 10),LUX-985-RED,Stationery,603.20,,,
Permanent Marker refill ink 15ml - Green (packet of 10),LUX-985-GRN,Stationery,603.20,,,
Luxor CD/DVD Markers - Black (packet of 12),LUX-3501-BLK,Stationery,420.00,,,
Luxor CD/DVD Markers - Blue (packet of 12),LUX-3502-BLU,Stationery,420.00,,,
Felt Pens/Colouring Marker - Assorted (wallet of 6),LUX-61016WT-AST,Stationery,52.00,,,
Felt Pens/Colouring Marker - Assorted (wallet of 12),LUX-610112WT-AST,Stationery,92.00,,,
Fabric marker wallets of 10 - Black (wallet of 10),LUX-3330110WT-BLK,Stationery,474.00,,,
Fabric marker wallets of 10 - Blue (wallet of 10),LUX-3330210WT-BLU,Stationery,474.00,,,
Fabric marker wallets of 10 - Red (wallet of 10),LUX-3330310WT-RED,Stationery,474.00,,,
Fabric marker wallets of 10 - Green (wallet of 10),LUX-3330410WT-GRN,Stationery,474.00,,,
Fabric marker wallets of 10 - Orange (wallet of 10),LUX-3330510WT-ORG,Stationery,474.00,,,
Fabric marker wallets of 10 - Violet (wallet of 10),LUX-3330610WT-VLT,Stationery,474.00,,,
Inkglide 100 orange body 1.0mm - Black (packet of 50),LUX-1810150BOX-BLK,Stationery,550.00,,,
Inkglide 100 orange body 1.0mm - Blue (packet of 50),LUX-1810250BOX-BLU,Stationery,550.00,,,
Inkglide 100 orange body 1.0mm - Black (packet of 25),LUX-1810125BOX-BLK,Stationery,275.00,,,
Inkglide 100 orange body 1.0mm - Red (packet of 25),LUX-1810325BOX-RED,Stationery,275.00,,,
Inkglide 100 orange body 0.7mm - Black (packet of 50),LUX-1660150BOX-BLK,Stationery,650.00,,,
Inkglide 100 orange body 0.7mm - Blue (packet of 50),LUX-1660250BOX-BLU,Stationery,650.00,,,
Inkglide 100 orange body 0.7mm - Red (packet of 50),LUX-1660350BOX-RED,Stationery,650.00,,,
Inkglide 100 orange body 0.7mm - Black (packet of 25),LUX-18101F25BOX-BLK,Stationery,325.00,,,
Inkglide 100 orange body 0.7mm - Blue (packet of 25),LUX-18102F25BOX-BLU,Stationery,325.00,,,
Inkglide 100 orange body 0.7mm - Red (packet of 25),LUX-18103F25BOX-RED,Stationery,325.00,,,
Inkglide 100 orange body 0.7mm - Blue (packet of 20),LUX-18102F20BOX-BLU,Stationery,260.00,,,
Inkglide 100 orange body 0.7mm - Red (packet of 20),LUX-18103F20BOX-RED,Stationery,260.00,,,
